epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,3.419944962434309,0.0925631513866808,3.3010762453795195,0.12137137137137137,0.0002948888739433602
2,3.2614401239658957,0.12762762762762764,3.213960487444002,0.1453953953953954,0.0002799038105676658
3,2.8903732167560503,0.20707472178060413,2.7231340086137927,0.24024024024024024,9.755282581475767e-05
4,2.5900635560522063,0.27910263204380853,2.452372149542884,0.2997997997997998,9.045084971874735e-05
5,2.381766505048503,0.33686627804274866,2.288825031038042,0.3611111111111111,7.938926261462365e-05
6,2.21358261094079,0.3851792969440028,2.0728683197223865,0.4189189189189189,6.545084971874736e-05
7,2.0771038077404467,0.4245274686451157,1.969393402725846,0.4389389389389389,4.999999999999999e-05
8,1.9770511188096027,0.44903727256668435,1.8757728337048292,0.4742242242242242,3.454915028125262e-05
9,1.9028706682210592,0.4750485779897545,1.8266917196241346,0.4717217217217217,2.0610737385376342e-05
10,1.855549530750491,0.4865306482953542,1.7835776450278404,0.49524524524524527,9.54915028125263e-06
11,1.8298635315377054,0.4923600070658894,1.7567340060397312,0.49674674674674674,2.4471741852423225e-06
12,1.8134474916058871,0.4991167638226462,1.750581996576922,0.5002502502502503,0.0
