epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,2.9855524928004176,0.19974386150856738,2.5907337052208765,0.3030530530530531,0.0002948888739433602
2,2.4121698409587413,0.3274598127539304,2.2605289470206746,0.35960960960960964,0.0002799038105676658
3,2.049237584334931,0.4109697933227345,1.8453384323998376,0.45320320320320323,0.00025606601717798207
4,1.7673834980934506,0.4874580462815757,1.609658796508033,0.5085085085085085,0.00022499999999999997
5,1.5713876480349507,0.5379349938173468,1.4572399148234614,0.6026026026026026,0.0001888228567653781
6,1.410107057142165,0.5978184066419361,1.2895216688856825,0.6203703703703703,0.00015
7,1.281111018541023,0.6372107401519166,1.184275602912521,0.6814314314314315,0.0001111771432346219
8,1.1766718907778264,0.6764264264264265,1.0723017579442389,0.704954954954955,7.500000000000003e-05
9,1.09719194868516,0.7061031619855149,0.965059837540826,0.7572572572572572,4.393398282201788e-05
10,1.044265207143412,0.7261526232114467,0.9151783787810409,0.7662662662662663,2.0096189432334194e-05
11,1.0097563910918108,0.733836777954425,0.8919562819722417,0.7722722722722722,5.1111260566397705e-06
12,0.9966386715823782,0.7399311075781664,0.8821030848019116,0.7802802802802803,0.0
