epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,2.944684004366682,0.1505034446210917,2.359859396387507,0.4189189189189189,0.0002988172051971717
2,2.321551541013571,0.22354707648825295,1.9905355270202454,0.5027527527527528,0.0002952874741692947
3,1.207755857128028,0.46656951068715774,0.18629675763505357,0.983983983983984,9.953429730181652e-05
4,0.8575409613529967,0.5330771948419007,0.12058738661599946,0.9934934934934935,9.814586436738995e-05
5,0.606730351916494,0.5310015898251192,0.03827717892445243,0.9974974974974975,9.586056507527263e-05
6,0.6025053703033172,0.5264087617028793,0.07224380070561762,0.9987487487487487,9.27209702273244e-05
7,0.6533727736212807,0.5059618441971383,0.04741086904798542,0.9982482482482482,8.878556453522098e-05
8,0.5169311243039815,0.5279985868221162,0.04243794534433711,0.9994994994994995,8.412765716093269e-05
9,0.5295722351449472,0.5128952481893658,0.046537159251289685,0.9997497497497497,7.883401610574334e-05
10,0.5940603105223994,0.4888712241653418,0.050284539212335694,0.998998998998999,7.30032518865576e-05
11,0.5141431820308903,0.5289701466172054,0.045637040110948206,0.9997497497497497,6.674398060854931e-05
12,0.627873842109431,0.48909203320968025,0.05483051154527578,0.9997497497497497,6.0172800652631684e-05
13,0.5093610756648048,0.5386857445680975,0.04840812244796538,0.9994994994994995,5.341212066823356e-05
14,0.5107727453317917,0.48467585232291116,0.04937838032483696,0.9992492492492493,4.658787933176645e-05
15,0.46024986416314667,0.5415562621444975,0.03575149703177962,0.9997497497497497,3.98271993473683e-05
16,0.5411073142177981,0.5200936230347996,0.07124094799295203,0.9992492492492493,3.3256019391450686e-05
17,0.4819774407287344,0.49677618795265854,0.03915831069643791,0.9994994994994995,2.699674811344239e-05
18,0.481714767952231,0.49311075781664016,0.03232411241477674,0.9997497497497497,2.1165983894256644e-05
19,0.5373268761155336,0.4847641759406465,0.0654968574822128,0.9997497497497497,1.587234283906729e-05
20,0.480833002058646,0.5255255255255256,0.024339349347505125,0.9997497497497497,1.1214435464779016e-05
21,0.4430973635153341,0.5295442501324854,0.025830664915276004,0.9997497497497497,7.2790297726755826e-06
22,0.4842132666796272,0.4955838191132309,0.039204981972326386,0.9997497497497497,4.139434924727348e-06
23,0.5453461092014792,0.4790673025967144,0.081542045459733,0.9997497497497497,1.8541356326100378e-06
24,0.447172818540595,0.5497261967850203,0.023769850392375624,0.9997497497497497,4.657026981834678e-07
25,0.4808942960564365,0.5318848260024731,0.04359997351382588,0.9997497497497497,0.0
