epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,3.671447902112394,0.05392156862745098,3.608427693774631,0.052802802802802806,0.0002948888739433602
2,3.5647509280415184,0.06721427309662603,3.537616091328221,0.07682682682682683,0.0002799038105676658
3,3.3710015097643202,0.10064476240946829,3.2505775956181555,0.13763763763763764,9.755282581475767e-05
4,3.2153623116309094,0.12758346581875993,3.1316770447625055,0.14589589589589588,9.045084971874735e-05
5,3.125823037402408,0.1343402225755167,3.054420383842858,0.15615615615615616,7.938926261462365e-05
6,3.058820185150028,0.14462992404168876,2.9868352773549915,0.16341341341341342,6.545084971874736e-05
7,2.9990769480884003,0.15964493905670377,2.9317715602355436,0.18268268268268267,4.999999999999999e-05
8,2.95411095596459,0.17284931990814345,2.8906351632184095,0.18643643643643643,3.454915028125262e-05
9,2.9156463266240267,0.18084260731319554,2.862815536178268,0.19794794794794796,2.0610737385376342e-05
10,2.8895286717319673,0.18795265854089382,2.8377222783334024,0.20395395395395396,9.54915028125263e-06
11,2.8755665703978854,0.1880851439674969,2.83040682140652,0.20745745745745744,2.4471741852423225e-06
12,2.870236317611503,0.19135311782370606,2.826791245180804,0.20845845845845845,0.0
