epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,3.1657895680514985,0.10779897544603427,2.707002974367953,0.251001001001001,0.0002948888739433602
2,2.7973072048295746,0.15438968380144852,2.3669895779740466,0.3375875875875876,0.0002799038105676658
3,2.5447521795971277,0.18989577813107225,2.06017070036154,0.38538538538538536,0.00025606601717798207
4,2.3704992602853214,0.2369281045751634,1.9227262038487691,0.4502002002002002,0.00022499999999999997
5,2.3025137487390275,0.2118000353294471,1.7136965307506833,0.5127627627627628,0.0001888228567653781
6,2.1339782686373345,0.2521197668256492,1.5848824706998792,0.5668168168168168,0.00015
7,2.1114433925494227,0.24761526232114467,1.538648738398089,0.5407907907907908,0.0001111771432346219
8,2.0268704131011344,0.29848966613672495,1.3927351176679075,0.6058558558558559,7.500000000000003e-05
9,1.9321969544754878,0.2809132662073838,1.3395690186484321,0.6331331331331331,4.393398282201788e-05
10,1.870522370209565,0.31756756756756754,1.2779800537470225,0.6358858858858859,2.0096189432334194e-05
11,1.8777454049316444,0.3178325384207737,1.2696392221135777,0.6609109109109109,5.1111260566397705e-06
12,1.8783361541153032,0.3006535947712418,1.2620005755572468,0.6581581581581581,0.0
