model,run_key,best_val_accuracy,final_val_accuracy,clean_accuracy,clean_macro_f1,ece_before,ece_after,temperature
Custom CNN (full),baseline_cnn,0.7802802802802803,0.7802802802802803,0.5898653998416469,0.392621989586771,0.101237173448667,0.025142877082313143,0.6949201822280884
CNN ablation: no BatchNorm,baseline_cnn_no_bn,0.20845845845845845,0.20845845845845845,0.19208234362628662,0.06020928827980971,0.043069706988164744,0.033195796944584424,0.9329225420951843
CNN ablation: no Dropout,baseline_cnn_no_dropout,0.5002502502502503,0.5002502502502503,0.39049881235154393,0.21057847113484307,0.07661122979975277,0.030589516688011416,0.7382769584655762
ResNet18 + RandAugment/MixUp,resnet18_robust,0.9997497497497497,0.9997497497497497,0.9876484560570071,0.983270455398108,0.06361124856148273,0.030373529863329234,0.8592112064361572
