model,run,epochs,pretrained,randaugment_mixup,best_val_accuracy,clean_accuracy,clean_macro_f1,ece_before,ece_after_temperature_scaling
Custom CNN,baseline_cnn_25,25,No,No,0.9409409409409409,0.7406967537608867,0.6120664320764293,0.05339396644681574,0.03780440346220611
Custom CNN + RandAugment/MixUp,baseline_cnn_augmix_25,25,No,Yes,0.8786286286286287,0.7529691211401425,0.591315361689437,0.16174268162708288,0.03716859811605769
ResNet18 + RandAugment/MixUp,resnet18_robust,25,Yes,Yes,0.9997497497497497,0.9876484560570071,0.983270455398108,0.06361124856148273,0.030373529863329234
